Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
910	1.2242397	0.9031830	0.7868158	0.5147905	0.3433993	0.2626483	0.7726820	0.3130098	0.2244046	0.1764341	0.0659587	0.0594286	0.2201144	0.0364461	0.0181431	0.1781607	0.3492763	0.3305597	0.6809484	-155959.760
920	1.2065812	0.8994625	0.7557231	0.5035143	0.3362615	0.2552629	0.7926486	0.3433546	0.2276600	0.1964537	0.0579626	0.0510490	0.2174446	0.0338928	0.0167600	0.1290752	0.3492763	0.4125753	0.4802162	-155961.715
930	1.2197153	0.9047756	0.7471600	0.5098223	0.3362615	0.2609109	0.7981414	0.3398530	0.2273962	0.1937380	0.0583177	0.0525012	0.2100680	0.0338248	0.0225314	0.1844916	0.4322656	0.4431161	0.8069002	-155968.602
940	1.2395919	0.8912431	0.7660849	0.4569870	0.3502974	0.2495786	0.8305674	0.3894647	0.2331094	0.2018810	0.0619241	0.0576316	0.2272951	0.0337213	0.0210203	0.1443916	0.3290090	0.3247500	0.5231179	-155956.103
950	1.2351453	0.8677298	0.7749363	0.5037149	0.3645729	0.2530912	0.7963053	0.3646428	0.2324763	0.2113843	0.0633730	0.0553156	0.2285421	0.0337213	0.0229164	0.1540456	0.3373697	0.3247500	0.3867385	-155959.648
960	1.2381659	0.8658182	0.8006205	0.4948579	0.3645729	0.2649566	0.7808841	0.3697112	0.2189142	0.2033032	0.0599097	0.0536189	0.2150406	0.0383354	0.0211929	0.1561418	0.3373697	0.3814662	0.4026156	-155964.548
970	1.2239657	0.8377476	0.7696340	0.5387744	0.4025145	0.2507405	0.7375432	0.3970616	0.2185816	0.2035318	0.0573136	0.0536189	0.2066805	0.0301161	0.0211929	0.1888750	0.2461933	0.3646465	0.6312105	-155954.241
980	1.2225846	0.8416409	0.7756772	0.5440388	0.4015894	0.2221870	0.7370848	0.3961538	0.2116948	0.1991262	0.0650811	0.0595894	0.2059437	0.0423461	0.0238790	0.1769594	0.3378603	0.4303393	0.5938942	-155949.796
990	1.2429134	0.8436567	0.7812363	0.5171955	0.4137308	0.2517770	0.7474345	0.3819935	0.2123965	0.1939087	0.0650811	0.0595894	0.2052357	0.0322640	0.0182320	0.1768264	0.4617449	0.4303393	0.4664511	-155951.977
1000	1.2503988	0.8538877	0.7793207	0.5295229	0.3903043	0.2421252	0.7606893	0.3960128	0.2168840	0.1894307	0.0726341	0.0622371	0.2135996	0.0282243	0.0171858	0.1521951	0.4060145	0.3098142	0.4664511	-155968.591
1010	1.2563941	0.8594814	0.7600626	0.5551842	0.3672420	0.2586180	0.7381481	0.3846654	0.2136893	0.1817167	0.0742939	0.0675670	0.2090074	0.0446019	0.0234151	0.1345070	0.5220333	0.3025189	0.6320630	-155956.206
1020	1.2834190	0.8609016	0.7481123	0.5615893	0.3808599	0.2648675	0.7240924	0.3964339	0.2143419	0.1940016	0.0728053	0.0675670	0.2105100	0.0285226	0.0166618	0.1656492	0.4003852	0.3121581	0.4375142	-155949.147
1030	1.2834177	0.8825880	0.7782007	0.5836191	0.3750773	0.2884956	0.7153877	0.4034861	0.2147747	0.2006829	0.0700776	0.0680547	0.2024055	0.0345933	0.0211723	0.1503650	0.4003852	0.3032602	0.6357099	-155955.628
1040	1.2786776	0.8787712	0.7673898	0.5617091	0.4301809	0.3003138	0.7005828	0.4053312	0.2276189	0.2052758	0.0746891	0.0707404	0.2139993	0.0325606	0.0170067	0.1178359	0.4003852	0.2360218	0.3344149	-155969.573
1050	1.2846746	0.8757112	0.7660485	0.5227682	0.4202834	0.2959597	0.7213606	0.4026558	0.2266738	0.2109124	0.0818066	0.0747024	0.2145984	0.0356200	0.0240805	0.1178359	0.2701851	0.5960337	0.4356988	-155954.727
1060	1.2994014	0.8987227	0.8028368	0.4965912	0.3946263	0.3094204	0.7595973	0.4019949	0.2266738	0.2109124	0.0786163	0.0722235	0.2212609	0.0273244	0.0225397	0.1334014	0.3222733	0.2019615	0.4287664	-155961.373
1070	1.2915671	0.9067193	0.8228112	0.5096375	0.4091778	0.3054009	0.7437569	0.3976192	0.2266738	0.2082620	0.0789021	0.0720200	0.2180103	0.0328415	0.0206457	0.1350453	0.3741858	0.3137758	0.3239846	-155961.749
1080	1.2823946	0.8977866	0.7931870	0.4745082	0.3896930	0.3054009	0.7649471	0.3568365	0.2276864	0.2041533	0.0770868	0.0723314	0.2199054	0.0279638	0.0221545	0.1435458	0.3487369	0.4302231	0.3399239	-155959.581
