Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
456000	0.4076153	0.2482506	0.1361513	0.1239649	0.1159909	0.0394883	0.0315550	0.0646079	0.0585049	0.3022353	0.2355165	0.0839025	0.1632971	-638241.427
457000	0.3806728	0.2658963	0.1392688	0.1251560	0.1133307	0.0490113	0.0390446	0.0696909	0.0503163	0.2440639	0.1681687	0.1947497	0.1601586	-638241.612
458000	0.3991207	0.2450774	0.1572271	0.1385074	0.1237312	0.0380200	0.0251413	0.0705476	0.0459127	0.2080716	0.1765803	0.1483957	0.1602912	-638236.044
459000	0.4097521	0.2495784	0.1245865	0.1104495	0.0959347	0.0335024	0.0243275	0.0702061	0.0706222	0.2641235	0.2015595	0.2364402	0.1486567	-638241.573
460000	0.3978347	0.2406326	0.1458102	0.1235198	0.1104780	0.0451216	0.0299158	0.0778871	0.0513847	0.2227949	0.1427242	0.0936745	0.1588595	-638238.290
461000	0.3916425	0.2246670	0.1248772	0.1160359	0.1067283	0.0395528	0.0270456	0.0679912	0.0595669	0.3222219	0.2578556	0.0580503	0.1952555	-638246.980
462000	0.4158173	0.2623371	0.1484553	0.1306574	0.1148806	0.0409871	0.0256947	0.0643403	0.0582926	0.2574419	0.1030021	0.2879862	0.1344901	-638236.375
463000	0.3920573	0.2519423	0.1309820	0.1133380	0.0980111	0.0407325	0.0315082	0.0791549	0.0525946	0.2575220	0.0843140	0.1552509	0.1044214	-638239.826
464000	0.4006280	0.2664238	0.1438178	0.1303466	0.1156706	0.0412851	0.0307217	0.0796431	0.0559647	0.1779554	0.1349530	0.3399609	0.2756672	-638234.923
465000	0.3716932	0.2393247	0.1392142	0.1250614	0.1100040	0.0436050	0.0254357	0.0890113	0.0583361	0.3424454	0.1856864	0.2653745	0.6448139	-638234.450
466000	0.3918377	0.2508856	0.1547411	0.1384556	0.1239073	0.0389014	0.0256826	0.0586963	0.0508295	0.2139609	0.1137273	0.2401290	0.2039532	-638237.974
467000	0.3735199	0.2538263	0.1598029	0.1480971	0.1364540	0.0520477	0.0331310	0.0777587	0.0485201	0.2146994	0.1220189	0.1288605	0.2642165	-638246.703
468000	0.3879157	0.2481779	0.1424431	0.1258251	0.1154595	0.0384894	0.0297964	0.0748223	0.0608558	0.2464028	0.1474981	0.1933196	0.2904506	-638242.661
469000	0.3818426	0.2422886	0.1399247	0.1277935	0.1149719	0.0480296	0.0328730	0.0791544	0.0531227	0.2386492	0.1623462	0.0985732	0.2250540	-638251.805
470000	0.4009401	0.2257070	0.1278860	0.1166099	0.1033077	0.0434021	0.0284037	0.0676937	0.0649249	0.2493121	0.0983907	0.2101833	0.3032655	-638234.932
471000	0.3501953	0.2502342	0.1518280	0.1237134	0.1124293	0.0415533	0.0315692	0.0826496	0.0550522	0.2762922	0.1300909	0.1968889	0.3084471	-638238.343
472000	0.3819729	0.2561590	0.1262153	0.1114927	0.1005300	0.0384468	0.0218240	0.0961227	0.0557120	0.2997270	0.1900302	0.0821488	0.3487151	-638245.733
473000	0.3511734	0.2495521	0.1251478	0.1135685	0.1023825	0.0422878	0.0280014	0.0682601	0.0590357	0.1986890	0.1690614	0.1159284	0.2138883	-638241.566
